"School name","Cases from school-based transmission"
"MARIPOSA-NABI PRIMARY CENTER",0
"MARK TWAIN MIDDLE SCHOOL",0
"MARLTON SCHOOL",0
"MARQUEZ CHARTER",0
"MARTHA ESCUTIA PRIMARY CENTER",0
"MARTIN LUTHER KING JR ELEMENTARY",0
"MARVIN EARLY EDUCATION CENTER",0
"MARVIN ELEMENTARY",0
"MARY MCLEOD BETHUNE MIDDLE SCHOOL",0
"MAURICE SENDAK ELEMENTARY",0
"MAXINE WATERS EMPLOYMENT PREP CENTER",0
"MAYALL STREET ACADEMY OF ARTS/TECHNOLOGY MAGNET",0
"MAYBERRY STREET ELEMENTARY",0
"MAYWOOD ACADEMY SENIOR HIGH",0
"MAYWOOD CENTER FOR ENRICHED STUDIES (MACES) MAGNET",0
